"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"72","2.10204082","0.03326933","0.47572816","0.0","11","4","false","Species1","9.45454545","11","0","0","0.7244898","false","0","Species1","1438","0.36758893"
"115","2.06122449","0.02968099","0.48514851","0.0","11","3","false","Resource4","10.36363636","11","0","0","0.73469388","false","0","Resource4","1588","0.39015152"
"75","2.06122449","0.03056139","0.48514851","0.0","11","3","false","Resource5","9.72727273","11","0","0","0.73469388","false","0","Resource5","1544","0.36363636"
"77","2.10204082","0.02556478","0.47572816","0.0","10","3","false","Resource6","9.1","10","0","0","0.7244898","false","0","Resource6","1236","0.3375"
"81","2.10204082","0.02731468","0.47572816","0.0","10","3","false","Resource8","9.7","10","0","0","0.7244898","false","0","Resource8","1222","0.3625"
"106","2.10204082","0.02455518","0.47572816","0.0","10","3","false","Resource10","10.0","10","0","0","0.7244898","false","0","Resource10","1298","0.375"
"122","2.10204082","0.0270707","0.47572816","0.0","10","3","false","Resource13","9.3","10","0","0","0.7244898","false","0","Resource13","1240","0.34583333"
"85","2.14285714","0.01876492","0.46666667","0.0","9","3","false","Resource14","10.11111111","9","0","0","0.71428571","false","0","Resource14","1026","0.37962963"
"125","2.14285714","0.02201507","0.46666667","0.0","9","3","false","Resource16","9.55555556","9","0","0","0.71428571","false","0","Resource16","1062","0.35648148"
"91","2.18367347","0.01772611","0.45794393","0.0","8","3","false","Resource19","9.0","8","0","0","0.70408163","false","0","Resource19","846","0.33333333"
"139","2.18367347","0.01865193","0.45794393","0.0","8","3","false","Resource20","9.0","8","0","0","0.70408163","false","0","Resource20","794","0.33333333"
"93","2.18367347","0.01609366","0.45794393","0.0","8","3","false","Resource21","10.0","8","0","0","0.70408163","false","0","Resource21","800","0.375"
"97","2.02040816","0.03943582","0.49494949","0.0","12","3","false","Species2","9.75","12","0","0","0.74489796","false","0","Species2","1788","0.36458333"
"98","1.97959184","0.05306246","0.50515464","0.0","13","3","false","Resource1","9.0","13","0","0","0.75510204","false","0","Resource1","2196","0.33333333"
"73","2.06122449","0.03496758","0.48514851","0.0","11","3","false","Resource3","9.63636364","11","0","0","0.73469388","false","0","Resource3","1560","0.35984848"
"79","2.10204082","0.02493651","0.47572816","0.0","10","3","false","Resource7","10.0","10","0","0","0.7244898","false","0","Resource7","1196","0.375"
"83","2.10204082","0.02958625","0.47572816","0.0","10","3","false","Resource11","9.1","10","0","0","0.7244898","false","0","Resource11","1292","0.3375"
"87","2.14285714","0.02017665","0.46666667","0.0","9","3","false","Resource15","10.0","9","0","0","0.71428571","false","0","Resource15","1032","0.375"
"110","2.18367347","0.01671008","0.45794393","0.0","8","3","false","Resource18","9.625","8","0","0","0.70408163","false","0","Resource18","818","0.359375"
"176","2.2244898","0.01303341","0.44954128","0.0","7","3","false","Resource23","9.85714286","7","0","0","0.69387755","false","0","Resource23","688","0.36904762"
"113","2.06122449","0.03680577","0.48514851","0.0","11","3","false","Species3","9.18181818","11","0","0","0.73469388","false","0","Species3","1512","0.34090909"
"120","2.10204082","0.03030473","0.47572816","0.0","10","3","false","Resource12","8.9","10","0","0","0.7244898","false","0","Resource12","1286","0.32916667"
"89","2.14285714","0.02101042","0.46666667","0.0","9","3","false","Resource17","9.88888889","9","0","0","0.71428571","false","0","Resource17","1054","0.37037037"
"95","2.34693878","0.00536764","0.42608696","0.0","5","4","false","Resource25","10.0","5","0","0","0.66326531","false","0","Resource25","244","0.39130435"
"129","2.06122449","0.03371813","0.48514851","0.0","11","3","false","Species4","9.0","11","0","0","0.73469388","false","0","Species4","1370","0.33333333"
"104","2.10204082","0.02843257","0.47572816","0.0","10","3","false","Resource9","9.5","10","0","0","0.7244898","false","0","Resource9","1382","0.35416667"
"142","2.26530612","0.008673","0.44144144","0.0","6","3","false","Resource24","9.33333333","6","0","0","0.68367347","false","0","Resource24","404","0.34722222"
"144","2.06122449","0.03568079","0.48514851","0.0","11","3","false","Species5","9.0","11","0","0","0.73469388","false","0","Species5","1388","0.33333333"
"131","2.06122449","0.03404374","0.48514851","0.0","11","3","false","Resource2","9.45454545","11","0","0","0.73469388","false","0","Resource2","1650","0.35227273"
"156","2.06122449","0.03097212","0.48514851","0.0","11","3","false","Species6","10.0","11","0","0","0.73469388","false","0","Species6","1566","0.375"
"217","2.2244898","0.01693364","0.44954128","0.0","8","4","false","Resource22","9.375","8","0","0","0.69387755","false","0","Resource22","874","0.36413043"
"167","2.06122449","0.03452755","0.48514851","0.0","11","3","false","Species7","10.09090909","11","0","0","0.73469388","false","0","Species7","1626","0.37878788"
"179","2.06122449","0.03141217","0.48514851","0.0","11","3","false","Species8","9.63636364","11","0","0","0.73469388","false","0","Species8","1498","0.35984848"
"189","2.10204082","0.03010246","0.47572816","0.0","10","3","false","Species9","9.3","10","0","0","0.7244898","false","0","Species9","1252","0.34583333"
"199","2.10204082","0.025226","0.47572816","0.0","10","3","false","Species10","10.1","10","0","0","0.7244898","false","0","Species10","1240","0.37916667"
"209","2.14285714","0.02274217","0.46666667","0.0","10","4","false","Species11","9.7","10","0","0","0.71428571","false","0","Species11","1150","0.37826087"
