"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"220","2.14285714","0.02843029","0.46666667","0.0","10","4","false","Species12","9.1","10","0","0","0.71428571","false","0","Species12","1192","0.35217391"
"230","2.10204082","0.02993271","0.47572816","0.0","10","3","false","Species13","9.4","10","0","0","0.7244898","false","0","Species13","1266","0.35"
"240","2.14285714","0.02073404","0.46666667","0.0","9","3","false","Species14","9.77777778","9","0","0","0.71428571","false","0","Species14","956","0.36574074"
"250","2.14285714","0.02309696","0.46666667","0.0","9","3","false","Species15","9.44444444","9","0","0","0.71428571","false","0","Species15","1014","0.35185185"
"260","2.18367347","0.01889397","0.45794393","0.0","9","4","false","Species16","9.55555556","9","0","0","0.70408163","false","0","Species16","892","0.37198068"
"268","2.14285714","0.02089779","0.46666667","0.0","9","3","false","Species17","9.55555556","9","0","0","0.71428571","false","0","Species17","1024","0.35648148"
"276","2.18367347","0.01771553","0.45794393","0.0","8","3","false","Species18","9.375","8","0","0","0.70408163","false","0","Species18","740","0.34895833"
"284","2.18367347","0.01540496","0.45794393","0.0","8","3","false","Species19","9.75","8","0","0","0.70408163","false","0","Species19","760","0.36458333"
"292","2.26530612","0.01109584","0.44144144","0.0","7","4","false","Species20","10.14285714","7","0","0","0.68367347","false","0","Species20","580","0.39751553"
"299","2.30612245","0.01165475","0.43362832","0.0","7","4","false","Species21","9.14285714","7","0","0","0.67346939","false","0","Species21","526","0.37012987"
"306","2.2244898","0.01358923","0.44954128","0.0","7","3","false","Species22","9.28571429","7","0","0","0.69387755","false","0","Species22","568","0.3452381"
"313","2.30612245","0.01315316","0.43362832","0.0","7","4","false","Species23","9.14285714","7","0","0","0.67346939","false","0","Species23","508","0.37012987"
"319","2.26530612","0.0082361","0.44144144","0.0","6","3","false","Species24","10.0","6","0","0","0.68367347","false","0","Species24","412","0.375"
"324","2.30612245","0.00851045","0.43362832","0.0","6","4","false","Species25","10.33333333","6","0","0","0.67346939","false","0","Species25","412","0.4057971"
