100;9.9;608;0.191265;0.128;0.55;0.2304;0.254229
200;9.9;541;0.280303;0.2192;0.55;0.2304;0.164765
300;9.9;557;0.341363;0.2784;0.55;0.2304;0.200468
400;9.9;577;0.382885;0.3264;0.55;0.2304;0.407483
500;9.9;625;0.382699;0.328;0.55;0.2304;0.246441
600;9.9;658;0.434356;0.36;0.55;0.2304;0.448264
700;9.9;696;0.445611;0.376;0.55;0.2304;0.36685
800;9.9;678;0.440162;0.3776;0.55;0.2304;0.416745
900;9.9;687;0.461508;0.3952;0.55;0.2304;0.712193
1000;9.9;683;0.46557;0.408;0.55;0.2304;2.62549
1100;9.801;720;0.483992;0.4192;0.55;0.2304;3.52925
1200;9.801;724;0.506067;0.4336;0.55;0.2304;27.7984
1300;9.801;675;0.465913;0.4096;0.55;0.2304;0.628313
1400;9.801;669;0.470282;0.4048;0.55;0.2304;0.881917
1500;9.801;631;0.445279;0.3888;0.55;0.2304;0.899994
1600;9.801;629;0.453421;0.3808;0.55;0.2304;0.734979
1700;9.801;642;0.469555;0.3936;0.55;0.2304;0.712574
1800;9.801;654;0.49907;0.4192;0.55;0.2304;0.603532
1900;9.801;639;0.513704;0.4272;0.55;0.2304;1.87396
2000;9.801;717;0.530528;0.4464;0.55;0.2304;7.99568
2100;9.70299;693;0.50493;0.4416;0.55;0.2304;2.98808
2200;9.70299;726;0.521663;0.44;0.55;0.2304;0.746493
2300;9.70299;727;0.50103;0.4416;0.55;0.2304;1.53388
2400;9.70299;733;0.505406;0.4416;0.55;0.2304;1.44474
2500;9.70299;743;0.546601;0.456;0.55;0.2304;1.20015
2600;9.70299;761;0.538544;0.448;0.55;0.2304;2.09394
2700;9.70299;787;0.518195;0.4336;0.55;0.2304;6.46537
2800;9.70299;733;0.498741;0.4288;0.55;0.2304;11.1776
2900;9.70299;736;0.488944;0.4272;0.55;0.2304;2.71496
3000;9.70299;759;0.500347;0.44;0.55;0.2304;2.8042
3100;9.60596;811;0.503501;0.44;0.55;0.2304;2.03319
3200;9.60596;809;0.500187;0.4256;0.55;0.2304;1.00456
3300;9.60596;845;0.509845;0.4464;0.55;0.2304;3.25842
3400;9.60596;832;0.494126;0.4384;0.55;0.2304;2.53615
3500;9.60596;784;0.48951;0.4336;0.55;0.2304;0.879044
3600;9.60596;768;0.488239;0.4272;0.55;0.2304;1.16433
3700;9.60596;755;0.49;0.4272;0.55;0.2304;0.845713
3800;9.60596;699;0.48222;0.4064;0.55;0.2304;0.679289
3900;9.60596;702;0.482759;0.4176;0.55;0.2304;0.841067
4000;9.60596;780;0.507857;0.4528;0.55;0.2304;3.37936
4100;9.5099;745;0.497016;0.4336;0.55;0.2304;0.821043
4200;9.5099;772;0.477419;0.424;0.55;0.2304;0.569381
4300;9.5099;794;0.485846;0.4336;0.55;0.2304;0.738813
4400;9.5099;715;0.477494;0.4224;0.55;0.2304;1.98828
4500;9.5099;790;0.487088;0.4288;0.55;0.2304;1.11832
4600;9.5099;764;0.51;0.4304;0.55;0.2304;9.67741
4700;9.5099;710;0.488676;0.416;0.55;0.2304;35.0286
4800;9.5099;698;0.500752;0.424;0.55;0.2304;6.46106
4900;9.5099;695;0.498143;0.4224;0.55;0.2304;8.2656
5000;9.5099;722;0.459663;0.4176;0.55;0.2304;8.58556
5100;9.4148;753;0.471613;0.432;0.55;0.2304;1.04401
5200;9.4148;754;0.489537;0.4176;0.55;0.2304;2.40238
5300;9.4148;702;0.460781;0.408;0.55;0.2304;3.69499
5400;9.4148;685;0.471945;0.4096;0.55;0.2304;4.95235
5500;9.4148;665;0.449941;0.3984;0.55;0.2304;3.3624
5600;9.4148;693;0.467279;0.416;0.55;0.2304;9.62383
5700;9.4148;663;0.507379;0.408;0.55;0.2304;15.3344
5800;9.4148;684;0.498483;0.416;0.55;0.2304;37.4031
5900;9.4148;693;0.517121;0.4208;0.55;0.2304;1.97691
6000;9.4148;730;0.542836;0.432;0.55;0.2304;1.7577
6100;9.32065;723;0.555439;0.4496;0.55;0.2304;6.25777
6200;9.32065;669;0.47988;0.4112;0.55;0.2304;1.08492
6300;9.32065;710;0.480882;0.4128;0.55;0.2304;1.08368
6400;9.32065;729;0.473042;0.3968;0.55;0.2304;1.18947
6500;9.32065;742;0.45578;0.3968;0.55;0.2304;0.889767
6600;9.32065;673;0.466942;0.408;0.55;0.2304;17.7801
6700;9.32065;647;0.45881;0.4016;0.55;0.2304;1.98742
6800;9.32065;599;0.463796;0.3968;0.55;0.2304;1.64926
6900;9.32065;643;0.483594;0.4016;0.55;0.2304;1.29046
7000;9.32065;639;0.495881;0.4016;0.55;0.2304;0.793476
7100;9.22745;629;0.50963;0.416;0.55;0.2304;1.39514
7200;9.22745;614;0.476845;0.3968;0.55;0.2304;0.721068
7300;9.22745;630;0.455029;0.3856;0.55;0.2304;0.73114
7400;9.22745;677;0.444974;0.3856;0.55;0.2304;0.501163
7500;9.22745;649;0.427814;0.3744;0.55;0.2304;0.543566
7600;9.22745;687;0.460899;0.408;0.55;0.2304;2.07719
7700;9.22745;664;0.47045;0.4064;0.55;0.2304;7.39124
7800;9.22745;697;0.481509;0.4176;0.55;0.2304;2.76539
