100;9.9;644;0.203416;0.1328;0.55;0.2304;0.302844
200;9.9;582;0.277948;0.2224;0.55;0.2304;0.126496
300;9.9;583;0.317487;0.28;0.55;0.2304;0.188532
400;9.9;607;0.372502;0.3248;0.55;0.2304;0.336418
500;9.9;645;0.423294;0.3616;0.55;0.2304;0.521133
600;9.9;696;0.441226;0.376;0.55;0.2304;0.590707
700;9.9;684;0.434173;0.376;0.55;0.2304;0.579924
800;9.9;674;0.453191;0.376;0.55;0.2304;0.542705
900;9.9;661;0.439143;0.3808;0.55;0.2304;0.549476
1000;9.9;693;0.440864;0.3904;0.55;0.2304;0.52742
1100;9.801;737;0.492114;0.4048;0.55;0.2304;0.878859
1200;9.801;751;0.470868;0.3968;0.55;0.2304;0.460335
1300;9.801;697;0.47024;0.4;0.55;0.2304;0.513503
1400;9.801;634;0.477328;0.3984;0.55;0.2304;109.428
1500;9.801;663;0.477969;0.4128;0.55;0.2304;1.59161
1600;9.801;634;0.484076;0.4048;0.55;0.2304;1.60974
1700;9.801;622;0.482408;0.408;0.55;0.2304;2.805
1800;9.801;687;0.533946;0.448;0.55;0.2304;0.884508
1900;9.801;715;0.53441;0.4496;0.55;0.2304;0.901782
2000;9.801;691;0.513484;0.4336;0.55;0.2304;0.744309
2100;9.70299;660;0.485122;0.4192;0.55;0.2304;0.998782
2200;9.70299;659;0.496923;0.416;0.55;0.2304;7.13861
2300;9.70299;662;0.511782;0.4272;0.55;0.2304;0.997288
2400;9.70299;653;0.521577;0.4288;0.55;0.2304;2.55026
2500;9.70299;701;0.49155;0.4208;0.55;0.2304;1.73877
2600;9.70299;654;0.49439;0.4224;0.55;0.2304;1.95092
2700;9.70299;676;0.49075;0.4272;0.55;0.2304;6.22668
2800;9.70299;675;0.532942;0.4464;0.55;0.2304;4.28079
2900;9.70299;688;0.532796;0.4384;0.55;0.2304;5.53228
3000;9.70299;666;0.525234;0.432;0.55;0.2304;6.3822
3100;9.60596;630;0.489403;0.408;0.55;0.2304;1.76988
3200;9.60596;666;0.478227;0.408;0.55;0.2304;1.192
3300;9.60596;689;0.489192;0.4144;0.55;0.2304;0.991744
3400;9.60596;755;0.501573;0.4336;0.55;0.2304;1.25539
3500;9.60596;752;0.512281;0.4384;0.55;0.2304;2.62375
3600;9.60596;777;0.510211;0.4368;0.55;0.2304;3.35532
