# Generated with RandomMatrixGenerator.m 
#TargetConn, TargetNest, Connectance, Nestedness, VarDegree 
0.075000 0.100000 0.083200 0.097175 1.797696  
 0.075000 0.150000 0.084800 0.145882 2.158411  
 0.125000 0.150000 0.120000 0.154219 2.324953  
 0.075000 0.200000 0.080800 0.195266 2.541405  
 0.125000 0.200000 0.119200 0.195578 2.913034  
 0.175000 0.200000 0.168000 0.202117 2.894543  
 0.075000 0.250000 0.076000 0.245243 3.342330  
 0.125000 0.250000 0.122400 0.246764 3.245621  
 0.175000 0.250000 0.165600 0.247778 3.527345  
 0.225000 0.250000 0.222400 0.254909 3.448828  
 0.075000 0.300000 0.082400 0.295255 3.251167  
 0.125000 0.300000 0.130400 0.296975 3.829097  
 0.175000 0.300000 0.179200 0.296258 3.931760  
 0.225000 0.300000 0.229600 0.297425 4.028592  
 0.275000 0.300000 0.279200 0.304865 3.982982  
 0.075000 0.350000 0.084000 0.346304 3.701716  
 0.125000 0.350000 0.124800 0.345595 3.945713  
 0.175000 0.350000 0.180800 0.345765 4.374290  
 0.225000 0.350000 0.229600 0.345419 4.604620  
 0.275000 0.350000 0.279200 0.345238 4.532088  
 0.325000 0.350000 0.332000 0.354754 4.506252  
 0.075000 0.400000 0.076000 0.400891 3.793071  
 0.125000 0.400000 0.124000 0.399098 4.539119  
 0.175000 0.400000 0.176000 0.397492 4.891618  
 0.225000 0.400000 0.220000 0.395674 5.197019  
 0.275000 0.400000 0.275200 0.396108 5.194522  
 0.325000 0.400000 0.320000 0.395657 5.157868  
 0.375000 0.400000 0.384800 0.403933 5.036014  
 0.075000 0.450000 0.077600 0.445221 4.156055  
 0.125000 0.450000 0.132000 0.446933 4.550022  
 0.175000 0.450000 0.170400 0.445187 5.086176  
 0.225000 0.450000 0.229600 0.447074 5.561677  
 0.275000 0.450000 0.276800 0.445106 5.738851  
 0.325000 0.450000 0.332800 0.445314 5.744970  
 0.375000 0.450000 0.382400 0.445637 5.589791  
 0.425000 0.450000 0.433600 0.453766 5.587857  
 0.075000 0.500000 0.073600 0.498708 4.550893  
 0.125000 0.500000 0.132000 0.496788 5.029642  
 0.175000 0.500000 0.175200 0.497171 5.472388  
 0.225000 0.500000 0.224000 0.496800 6.092382  
 0.275000 0.500000 0.273600 0.495397 6.257882  
 0.325000 0.500000 0.328800 0.496476 6.274013  
 0.375000 0.500000 0.367200 0.496786 6.296374  
 0.425000 0.500000 0.427200 0.495426 6.177203  
 0.075000 0.550000 0.079200 0.545455 4.241494  
 0.125000 0.550000 0.127200 0.546358 4.923304  
 0.175000 0.550000 0.176800 0.545139 5.857712  
 0.225000 0.550000 0.217600 0.545407 6.234371  
 0.275000 0.550000 0.277600 0.545063 6.690238  
 0.325000 0.550000 0.332000 0.545253 6.891698  
 0.375000 0.550000 0.368000 0.545132 6.928853  
 0.425000 0.550000 0.434400 0.545487 6.753097  
 0.075000 0.600000 0.083200 0.603406 5.184627  
 0.125000 0.600000 0.123200 0.596010 5.071311  
 0.175000 0.600000 0.176000 0.595761 6.105676  
 0.225000 0.600000 0.234400 0.595393 6.890443  
 0.275000 0.600000 0.268000 0.595861 7.006432  
 0.325000 0.600000 0.334400 0.595165 7.323958  
 0.375000 0.600000 0.383200 0.597376 7.489765  
 0.425000 0.600000 0.427200 0.596029 7.504665  
 
