# Generated with RandomMatrixGenerator.m 
#TargetConn, TargetNest, Connectance, Nestedness, VarDegree 
0.075000 0.100000 0.076800 0.097568 1.680067  
 0.075000 0.150000 0.072400 0.146759 2.619970  
 0.125000 0.150000 0.122800 0.154583 2.260866  
 0.075000 0.200000 0.080400 0.198001 3.222334  
 0.125000 0.200000 0.122800 0.195104 3.139903  
 0.175000 0.200000 0.173200 0.204640 2.555327  
 0.075000 0.250000 0.073200 0.245478 3.499553  
 0.125000 0.250000 0.119600 0.246173 3.910566  
 0.175000 0.250000 0.178000 0.245055 3.520503  
 0.225000 0.250000 0.217200 0.254481 2.835632  
 0.075000 0.300000 0.069200 0.296915 4.093404  
 0.125000 0.300000 0.126800 0.295475 4.660645  
 0.175000 0.300000 0.167200 0.295714 4.630858  
 0.225000 0.300000 0.224800 0.295417 3.887613  
 0.275000 0.300000 0.265200 0.304878 3.047171  
 0.075000 0.350000 0.082000 0.345946 4.416452  
 0.125000 0.350000 0.125200 0.346464 5.070453  
 0.175000 0.350000 0.183600 0.345894 5.362383  
 0.225000 0.350000 0.231600 0.345776 4.999353  
 0.275000 0.350000 0.268400 0.345383 4.309210  
 0.325000 0.350000 0.326800 0.354903 2.640860  
 0.075000 0.400000 0.084400 0.397959 4.963666  
 0.125000 0.400000 0.120400 0.397744 5.484561  
 0.175000 0.400000 0.170400 0.395297 5.994071  
 0.225000 0.400000 0.227600 0.395851 5.974322  
 0.275000 0.400000 0.267200 0.395377 5.621963  
 0.325000 0.400000 0.323200 0.395079 4.410089  
 0.375000 0.400000 0.369600 0.404717 3.122030  
 0.075000 0.450000 0.078400 0.450197 5.080523  
 0.125000 0.450000 0.133200 0.446061 6.032270  
 0.175000 0.450000 0.181200 0.445130 6.628405  
 0.225000 0.450000 0.232400 0.446698 6.813208  
 0.275000 0.450000 0.276400 0.445078 6.489121  
 0.325000 0.450000 0.322800 0.445298 5.830987  
 0.375000 0.450000 0.378000 0.445040 4.450627  
 0.425000 0.450000 0.426800 0.454725 2.793282  
 0.075000 0.500000 0.082000 0.495714 5.358841  
 0.125000 0.500000 0.132400 0.496014 6.469478  
 0.175000 0.500000 0.176800 0.497141 7.052072  
 0.225000 0.500000 0.225600 0.495561 7.479372  
 0.275000 0.500000 0.275600 0.495099 7.432633  
 0.325000 0.500000 0.323200 0.496098 7.040604  
 0.375000 0.500000 0.383200 0.495017 5.833931  
 0.425000 0.500000 0.430000 0.495328 4.427873  
 0.075000 0.550000 0.078400 0.547294 5.535341  
 0.125000 0.550000 0.122400 0.545084 6.502960  
 0.175000 0.550000 0.179600 0.545577 7.537087  
 0.225000 0.550000 0.230400 0.545475 8.110948  
 0.275000 0.550000 0.274400 0.545681 8.189769  
 0.325000 0.550000 0.328800 0.545166 7.926837  
 0.375000 0.550000 0.370000 0.545664 7.462363  
 0.425000 0.550000 0.433600 0.545303 6.083394  
 0.075000 0.600000 0.076800 0.601531 5.792227  
 0.125000 0.600000 0.118000 0.595127 6.969631  
 0.175000 0.600000 0.180800 0.597681 8.057771  
 0.225000 0.600000 0.231200 0.595776 8.594478  
 0.275000 0.600000 0.270400 0.595367 8.851730  
 0.325000 0.600000 0.330000 0.596142 8.812869  
 0.375000 0.600000 0.382400 0.595649 8.403078  
 0.425000 0.600000 0.422800 0.595109 7.752510  
 
